2018/05/09 16:59:31
[1] You: [3, 4]
[1] AI: [3, 5]
[2] You: [3, 6]
[2] AI: [5, 3]
[3] You: [6, 3]
[3] AI: [3, 3]
[4] You: [4, 3]
[4] AI: [5, 2]
[5] You: [6, 4]
[5] AI: [7, 5]
[6] You: [5, 6]
[6] AI: [7, 4]
[7] You: [5, 1]
[7] AI: [4, 2]
[8] You: [8, 4]
[8] AI: [4, 6]
[9] You: [6, 2]
[9] AI: [6, 5]
[10] You: [8, 5]
[10] AI: [7, 3]
[11] You: [3, 2]
[11] AI: [6, 6]
[12] You: [8, 3]
[12] AI: [2, 5]
[13] You: [1, 5]
[13] AI: [4, 1]
[14] You: [3, 1]
[14] AI: [7, 6]
[15] You: [8, 6]
[15] AI: [2, 4]
[16] You: [1, 4]
[16] AI: [2, 3]
[17] You: [1, 3]
[17] AI: [7, 2]
[18] You: [8, 1]
[18] AI: [6, 1]
[19] You: [7, 1]
[19] AI: [5, 7]
[20] You: [5, 8]
[20] AI: [4, 7]
[21] You: [4, 8]
[21] AI: [6, 7]
[22] You: [6, 8]
[22] AI: [3, 7]
[23] You: [3, 8]
[23] AI: [2, 6]
[24] You: [1, 6]
[24] AI: Pass
X(You):51, O(AI):0, Empty:13
